Modello,Rumore,Metrica,@0%,@40%,Delta
NN base,Feature noise,accuracy,0.8678,0.8328,-0.0350
NN base,Feature noise,f1_macro,0.8517,0.7972,-0.0545
NN base,Feature noise,auc,0.9214,0.8941,-0.0273
NN base,Label noise random,accuracy,0.8678,0.7419,-0.1259
NN base,Label noise random,f1_macro,0.8517,0.6900,-0.1618
NN base,Label noise random,auc,0.9214,0.7513,-0.1701
NN base,Label noise borderline,accuracy,0.8678,0.6002,-0.2676
NN base,Label noise borderline,f1_macro,0.8517,0.5896,-0.2622
NN base,Label noise borderline,auc,0.9214,0.6656,-0.2558
NN base,Missing values,accuracy,0.8678,0.7792,-0.0886
NN base,Missing values,f1_macro,0.8517,0.7409,-0.1108
NN base,Missing values,auc,0.9214,0.8266,-0.0948
NN base,Outlier,accuracy,0.8678,0.8615,-0.0063
NN base,Outlier,f1_macro,0.8517,0.8441,-0.0077
NN base,Outlier,auc,0.9214,0.9116,-0.0098
NN base,Missing feature,accuracy,0.8678,0.7303,-0.1375
NN base,Missing feature,f1_macro,0.8517,0.6694,-0.1823
NN base,Missing feature,auc,0.9214,0.7413,-0.1801
NN pro,Feature noise,accuracy,0.8601,0.8417,-0.0184
NN pro,Feature noise,f1_macro,0.8468,0.8225,-0.0242
NN pro,Feature noise,auc,0.9238,0.8940,-0.0297
NN pro,Label noise random,accuracy,0.8601,0.8044,-0.0557
NN pro,Label noise random,f1_macro,0.8468,0.7859,-0.0608
NN pro,Label noise random,auc,0.9238,0.8677,-0.0561
NN pro,Label noise borderline,accuracy,0.8601,0.6354,-0.2248
NN pro,Label noise borderline,f1_macro,0.8468,0.6203,-0.2265
NN pro,Label noise borderline,auc,0.9238,0.7084,-0.2153
NN pro,Missing values,accuracy,0.8601,0.7650,-0.0952
NN pro,Missing values,f1_macro,0.8468,0.7465,-0.1002
NN pro,Missing values,auc,0.9238,0.8319,-0.0919
NN pro,Outlier,accuracy,0.8601,0.8541,-0.0060
NN pro,Outlier,f1_macro,0.8468,0.8399,-0.0069
NN pro,Outlier,auc,0.9238,0.9201,-0.0037
NN pro,Missing feature,accuracy,0.8601,0.6995,-0.1606
NN pro,Missing feature,f1_macro,0.8468,0.6672,-0.1795
NN pro,Missing feature,auc,0.9238,0.7347,-0.1891
RF,Feature noise,accuracy,0.8785,0.8318,-0.0468
RF,Feature noise,f1_macro,0.8629,0.7974,-0.0655
RF,Feature noise,auc,0.9300,0.8913,-0.0386
RF,Label noise random,accuracy,0.8785,0.7179,-0.1606
RF,Label noise random,f1_macro,0.8629,0.6984,-0.1646
RF,Label noise random,auc,0.9300,0.7673,-0.1626
RF,Label noise borderline,accuracy,0.8785,0.6094,-0.2692
RF,Label noise borderline,f1_macro,0.8629,0.6013,-0.2616
RF,Label noise borderline,auc,0.9300,0.6774,-0.2526
RF,Missing values,accuracy,0.8785,0.8068,-0.0718
RF,Missing values,f1_macro,0.8629,0.7750,-0.0879
RF,Missing values,auc,0.9300,0.8477,-0.0822
RF,Outlier,accuracy,0.8785,0.8736,-0.0050
RF,Outlier,f1_macro,0.8629,0.8566,-0.0064
RF,Outlier,auc,0.9300,0.9250,-0.0049
RF,Missing feature,accuracy,0.8785,0.7363,-0.1422
RF,Missing feature,f1_macro,0.8629,0.6824,-0.1805
RF,Missing feature,auc,0.9300,0.7494,-0.1806
